Season,TEAM,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
2012-2013,Houston Rockets,82,106,38.1,82.7,46.1,10.6,28.9,36.6,19.2,25.5,75.4,11.1,32.3,43.4,23.2,8.3,4.4,15.8,20.3
2012-2013,Oklahoma City Thunder,82,105.7,38.1,79.3,48.1,7.3,19.4,37.7,22.2,26.8,82.8,10.4,33.2,43.6,21.4,8.3,7.6,14.6,20.2
2012-2013,San Antonio Spurs,82,103,39.1,81.4,48.1,8.1,21.5,37.6,16.6,21,79.1,8.1,33.2,41.3,25.1,8.5,5.4,14.1,17.4
2012-2013,Miami Heat,82,102.9,38.4,77.4,49.6,8.7,22.1,39.6,17.4,23,75.4,8.2,30.4,38.6,23,8.7,5.4,13.3,18.7
2012-2013,Los Angeles Lakers,82,102.2,37.1,81,45.8,8.7,24.6,35.5,19.3,27.9,69.2,11.5,33.3,44.8,22.2,7,5.2,14.6,17.9
2012-2013,Golden State Warriors,82,101.2,38.2,83.4,45.8,8,19.9,40.3,16.8,21.3,79,10.8,34.2,45,22.5,6.9,4.2,14.8,21.4
2012-2013,Dallas Mavericks,82,101.1,38.8,84,46.2,7.4,19.9,37.2,16.1,20.4,79.3,9.4,32.6,41.9,23.2,7.9,5.5,13.5,20.7
2012-2013,LA Clippers,82,101.1,38.5,80.6,47.8,7.6,21.4,35.8,16.4,23,71.1,11.4,30.2,41.6,23.9,9.6,5.6,13.8,20.9
2012-2013,Sacramento Kings,82,100.2,37.6,84.2,44.7,7.4,20.5,36.3,17.5,22.8,76.9,11.5,29.1,40.6,20.8,8.2,4.2,14,20.9
2012-2013,New York Knicks,82,100,36.5,81.6,44.8,10.9,28.9,37.6,16,21.1,75.9,10.9,29.7,40.6,19.3,8.2,3.6,11.6,20.1
2012-2013,Milwaukee Bucks,82,98.9,38.1,87.8,43.5,7.3,20.4,36,15.3,20.7,73.6,13,30.9,44,22.9,8.4,6.7,13.6,19
